Status,Ban,Deck,Number,Type,Player(s),Name,Cost,,VPs,Prerequisites,Passing Left,Card Category,Text
X,,C,159,Occupation,4+,Fisherman's Friend,,,,,,Food Provider,"At the start of each round, if there is more food on the ""Traveling Players"" than on the ""Fishing"" accumulation space, you get the difference from the general supply."
X,,C,160,Occupation,4+,Outrider,,,,,,Crop Provider,"Each time before you use the action space on the most recently revealed action space card (after it has been placed on the round space), you get 1 grain."
X,,C,161,Occupation,4+,Potato Digger,,,,,,Crop Provider,"When you play this card, if you have at least 2/4/5 unplanted field tiles, you immediately get 1/2/3 vegetables."
,,C,162,Occupation,4+,Forest Owner,,,,,,Actions Booster,"This card is an action space for all. If another player uses it, they get 3 wood and must give you 1 wood from the general supply. If you use it, you get 4 wood."
,,C,163,Occupation,4+,Material Deliveryman,,,,,,Actions Booster,"Each time any player (including you) takes 5/6/7/8+ goods from an accumulation space, you get 1 wood/clay/reed/stone from the general supply."
X,,C,164,Occupation,4+,German Heath Keeper,,,,,,Livestock Provider,"Each time any player (including you) uses the ""Pig Market"" accumulation space, you get 1 sheep from the general supply."
V,,C,165,Occupation,4+,Game Catcher,,,,,,Livestock Provider,"When you play this card, pay 1 food for each remaining harvest to immediately get 1 cattle and 1 wild boar."
V,,C,166,Occupation,4+,Cattle Whisperer,,,,,,Livestock Provider,"Add 5 and 8 to the current round and place 1 cattle on each corresponding round space. At the start of these rounds, you get the cattle."
V,,C,167,Occupation,4+,Cattle Buyer,,,,,,Livestock Provider,"Each time another player uses the ""Fencing"" action space, you can buy exactly 1 sheep/wild boar/cattle from the general supply for 1/2/2 food."
,,C,168,Occupation,4+,Animal Catcher,,,,,,Livestock Provider,"Each time you use the ""Day Laborer"" action space, instead of 2 food, you can get 3 different animals from the general supply. If you do, you must pay 1 food each harvest left to play."
?,,C,169,Occupation,5+,Fast Mason,,,,,,Farm Planner,"Immediately after each time you use a clay/stone accumulation space, you can renovate your house to clay/stone without paying reed."
X,,C,170,Occupation,5+,Amateur Fencer,,,,,,Farm Planner,"When you play this card, if you have no pastures yet, you can immediately fence exactly 1 space in your farmyard without paying wood for the fences."
,,C,171,Occupation,5+,Young Artist,,,,,,Actions Booster,"In the returning home phase of each round, you can pay 1 food to either take a ""Minor Improvement"" action or to draw 2 new minor improvements."
,,C,172,Occupation,5+,Field Counter,,,,,,Food Provider,"Each time another player plows a field, place 1 food on this card. Once this game, you can turn this card face down to get the food on it."
,,C,173,Occupation,5+,Top-Outer,,,,,,Food Provider,"Each time the ""House Building"" action space on the game board extension is used, you get all of the food from the ""Traveling Players"" accumulation space."
,,C,174,Occupation,5+,Stone Custodian,,,,,,Crop Provider,"At the end of each work phase, if 1 stone accumulation space has stone left, you get 1 grain If 2 stone accumulation spaces have stone left, you get 1 vegetable instead."
,,C,175,Occupation,5+,Village Teacher,,,,,,Crop Provider,"Immediately after each time you use a ""Lessons"" action space, if this is the 1st/2nd/3rd occupied Lessons action space that round, you get 1 food/grain/vegetable."
,,C,176,Occupation,5+,Cleanacre,,,,,,Building Resource Provider,"Each time you use the ""Farmland"", ""Cultivation"", or ""Farming Supplies"" action (the latter only being available with 6 players), you also get 2 clay."
,,C,177,Occupation,5+,Mountain Hiker,,,,,,Building Resource Provider,"Immediately after each time you use an accumulation space on the game board extension, you can buy 1 stone for 1 food."
,,C,178,Occupation,5+,On-Site Reverend,,,,,,Building Resource Provider,"At the start of each harvest, you get 1 building resource of your choice."
,,C,179,Occupation,5+,Bovine Pioneer,,,,,,Livestock Provider,Each time you create at least one new pasture from unfenced farmyard spaces you get 1 cattle.
,,C,180,Occupation,5+,Trapper,,,,,,Livestock Provider,"Each time after you use a wood accumulation space, if this is the 2nd/3rd/4th occupied wood accumulation space that round, you can buy 1 sheep/wild boar/cattle for 1 food."
