Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Cost text,VPs,Prerequisites,Passing Left,Card Category,Text
X,,B,160,Occupation,4+,Pub Owner,,,,,,Crop Provider,"Immediately, when you play this card, and at the end of each work phase, in which the ""Forest"", ""Clay Pit"", and ""Reed Bank"" accumulation spaces are all occupied, you get 1 grain."
,,B,161,Occupation,4+,Weakling,,,,,,Crop Provider,"Each time it is your turn in the work phase, if there are one or more accumulation spaces with 5+ goods on them and you do not use any of them, you get 1 vegetable."
,Ban,B,162,Occupation,4+,Forest Clearer,,,,,,Building Resource Provider,"Each time you obtain exactly 2/3/4 wood from a wood accumulation space, you get 1 additional wood and 1/0/1 food."
V,,B,163,Occupation,4+,Pastor,,,,,,Building Resource Provider,"Once you are the only player to live in a house with only 2 rooms, you immediately get 3 wood, 2 clay, 1 reed, and 1 stone (only once)."
V,,B,164,Occupation,4+,Sheep Whisperer,,,,,,Livestock Provider,"Add 2, 5, 8, and 10 to the current round and place 1 sheep on each corresponding round space. At the start of these rounds, you get the sheep."
,,B,165,Occupation,4+,Game Provider,,,,,,Livestock Provider,"Immediately before each harvest, you can discard 1/3/4 grain from different fields to get 1/2/3 wild boars."
V,,B,166,Occupation,4+,Cattle Feeder,,,,,,Livestock Provider,"Each time you use the ""Grain Seeds"" action space, you can also buy 1 cattle for 1 food."
,,B,167,Occupation,4+,Stable Sergeant,,,,,,Livestock Provider,"When you play this card, you can pay 2 food to get 1 sheep, 1 wild boar, and 1 cattle, but only if you can accommodate all three animals on your farm."
,,B,168,Occupation,4+,Pasture Master,,,,,,Livestock Provider,"Each time you renovate, you get 2 food and 1 additional animal of the respective type in each of your pastures with stable."
,,B,169,Occupation,5+,Livestock Sustainer,,,,,,Farm Planner,"For each major improvement built by the other players, you can keep 1 animal on this card (max. 8). You can keep different types here."
,,B,170,Occupation,5+,Corral Builder,,,,,,Farm Planner,"When the ""Pig Market"" and ""Cattle Market"" action space cards are each revealed (and placed on the round space), you can immediately fence exactly 1 farmyard space without playing wood."
,,B,171,Occupation,5+,Greenhouse Builder,,,,,,Actions Booster,"This is an action space for you only. It provides a choice of ""Fencing"", ""House Redevelopment"", or ""Vegetable Seeds"" if the corresponding action space is already in play."
,,B,172,Occupation,5+,Cattle Caregiver,,,,,,Food Provider,"At the start of each round, if 3/4/5+ players each have at least 1 cattle, you get 1/2/3 food."
,,B,173,Occupation,5+,Sweeper,,,,,,Food Provider,"Each time you use an action space with the (meeple) symbol, place 1 food on this card. Once this game, you can turn this card face down to get the food on it."
,,B,174,Occupation,5+,Riverbank Gardener,,,,,,Crop Provider,"Each time you use the ""Riverbank Forest"" accumulation space, you also get 1 vegetable."
,,B,175,Occupation,5+,Field Overseer,,,,,,Crop Provider,"Each time the other players harvest grain from at least 3/4/6 fields combined, you get 1 food/grain/vegetable."
,,B,176,Occupation,5+,Village Idiot,,,,,,Building Resource Provider,"The Village Idiot is your lone occupation. Each time another player uses the ""Meeting Place"" action space, you get 1 wood and 1 food."
,,B,177,Occupation,5+,Stone Clawer,,,,,,Building Resource Provider,"Each time you plow at least 1 field, you also get 1 stone."
,,B,178,Occupation,5+,Tag-Along,,,,,,Building Resource Provider,"Immediately after each time another player uses the ""Resource Market"" action space, you can also place a person there to take the action as well."
,,B,179,Occupation,5+,Wild Boar Hunter,,,,,,Livestock Provider,"In the returning home phase of each round, if at least 3 wood accumulation spaces are occupied, you can pay 1 wood to get 1 wild boar."
,,B,180,Occupation,5+,Game Teaser,,,,,,Livestock Provider,"Each time you take 1/2/3 food from a food accumulation space, you also get 1 cattle/wild boar/sheep."
