Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Cost Text,VPs,Prerequisites,Passing Left,Card Category,Text
,,D,157,Occupation,4+,Party Organizer,,,,,,Food Provider,"As soon as the next player but you gains their 5th person, you immediately get 8 food (not retroactively). During scoring, if only you have 5 people, you get 3 bonus points."
V,,D,158,Occupation,4+,Bean Counter,,,,,,Food Provider,"Each time you use an action space on round spaces 1 to 8, place 1 food on this card. Each time this cards has 3 food on it, move the food to your supply."
,,D,159,Occupation,4+,Reed Seller,,,,,,Food Provider,"At any time, you can turn 1 reed into 3 food. Any other player can prevent this by buying the reed for 2 food from you. If multiple players are interested, choose one."
,,D,160,Occupation,4+,Midwife,,,,,,Crop Provider,"Each time another player uses the first person they place in a round to take a ""Family Growth"" action, you get 1 grain from the general supply."
,,D,161,Occupation,4+,Cabbage Buyer,,,,,,Crop Provider,"Each time any player (including you) renovates and the builds no/ 1 minor/ 1 major improvement, you can buy 1 vegetable for 3/2/1 food."
V,,D,162,Occupation,4+,Clay Firer,,,,,,Building Resource Provider,"When you play this card, you immediately get 2 clay. At any time, you can turn clay into stone: you get 1 stone for 2 clay, and 2 stone for 3 clay."
?,,D,163,Occupation,4+,Journeyman Bricklayer,,,,,,Building Resource Provider,"When you play this card, you immediately get 2 stone. Each time another player renovates to stone or builds a stone room, you get 1 stone."
,,D,164,Occupation,4+,Pet Grower,,,,,,Livestock Provider,"Each time you use an animal accumulation space, if afterward you have no animal in your house, you also get 1 sheep."
,,D,165,Occupation,4+,Pig Stalker,,,,,,Livestock Provider,"Each time you use an animal accumulation space, if you occupy either the action space immediately above or below that accumulation space, you also get 1 wild boar."
X,,D,166,Occupation,4+,Stable Milker,,,,,,Livestock Provider,"Each time you build at least 2 stables on the same turn, you also get 1 cattle."
,,D,167,Occupation,4+,Pure Breeder,,,,,,Livestock Provider,"You immediately get 1 wood. After each round that does not end with a harvest, you can breed exactly one type of animal. (This is not considered a breeding phase.)"
V,,D,168,Occupation,4+,Stockman,,,,,,Livestock Provider,"When you build your 2nd/3rd/4th stable, you immediately get 1 cattle/wild boar/sheep, even if built on the same turn (but not retroactively)."
,,D,169,Occupation,5+,Plowsmith,,,,,,Farm Planner,"Each time another player takes at least 4 wood from an accumulation space, you can immediately pay 1 food to plow 1 field."
,,D,170,Occupation,5+,Fold Builder,,,,,,Farm Planner,"This card is an action space for all. It provides a ""Build Fences"" action and then 1 sheep. If another player uses it, they must first pay you 1 food."
,,D,171,Occupation,5+,Senior Teacher,,,,,,Actions Booster,"Each time another player pays food on a ""Lessons"" action space, you get exactly 1 of that food."
X,,D,172,Occupation,5+,Putcher Maker,,,,,,Food Provider,"At any time, you can exchange 1 reed for 2 food."
,,D,173,Occupation,5+,Town Clerk,,,,,,Food Provider,"Each time a major improvement is built, place 1 food on this card. Once this game, you can turn this card face down to get the food on it."
,,D,174,Occupation,5+,Loess Gardener,,,,,,Crop Provider,"Each time you use the ""Clay Pit"" accumulation space, you can also buy 1 vegetable for 1 food."
,,D,175,Occupation,5+,Countryman,,,,,,Crop Provider,"Each time any player (including you) takes a ""Renovation"" action on an action space, you can sow crops in exactly 1 field."
,,D,176,Occupation,5+,Woodshacker,,,,,,Building Resource Provider,"In the work phase of each round, the first and the second time you use a wood accumulation space, you also get 1 and 2 clay respectively."
,,D,177,Occupation,5+,Graduate,,,,,,Building Resource Provider,"When you play this card you immediately pay 1 food. If you do, you get 2 stone and 2 reed."
,,D,178,Occupation,5+,Substitute Teacher,,,,,,Building Resource Provider,"Each time all three ""Lessons"" action spaces are occupied, you can use this card with a person to get your choice of 1 building resource or 1 crop of each type."
,,D,179,Occupation,5+,Bullcatcher,,,,,,Livestock Provider,"When both action spaces on round spaces 3 and 6 are occupied, you can use this card with a person to get 1 cattle and 2 food."
,,D,180,Occupation,5+,Part-Time Worker,,,,,,Livestock Provider,"Each time you use an accumulation space with exactly 2/4/6 goods on it, you can leave 1/2/3 goods on the space. If you do, you get 1 sheep/wild boar/cattle."
