Status,Ban,Deck,Number,Type,Player(s),Name,Cost,Text cost,VPs,Prerequisites,Passing Left,Card Category,Text
X,,A,161,Occupation,4+,Patch Caretaker,,,,,,Crop Provider,"Each time you use an accumulation space while already having used another accumulation space for the same type of good that work phase, you also get 1 vegetable."
,,A,162,Occupation,4+,Forest Tallyman,,,,,,Building Resource Provider,"Each time both the ""Forest"" and ""Clay Pit"" accumulation spaces are occupied, you can use the gap between them as an action space to get 2 clay and 3 wood."
X,,A,163,Occupation,4+,Building Expert,,,,,,Building Resource Provider,"Each time you use the ""Resource Market"" action space with the 1st/2nd/3rd/4th/5th person you place, you also get 1 wood/clay/reed/stone/stone."
X,,A,164,Occupation,4+,Wood Worker,,,,,,Livestock Provider,"Each time you take wood from an accumulation space, you can exchange 1 wood for 1 sheep. Place the wood on the accumulation space."
V,,A,165,Occupation,4+,Pig Breeder,,,,,,Livestock Provider,"When you play this card, you immediately get 1 wild boar. Your wild boar breed at the end of round 12 (if there is room for the new wild boar)."
,,A,166,Occupation,4+,Haydryer,,,,,,Livestock Provider,"Immediately before each harvest, you can buy 1 cattle for 4 food minus 1 food for each pasture you have. (The minimum cost is 0)."
,,A,167,Occupation,4+,Breeder Buyer,,,,,,Livestock Provider,"Each time you build at least 1 wood/clay/stone room and at least 1 stable on the same turn, you also get 1 sheep/wild boar/cattle."
X,,A,168,Occupation,4+,Animal Teacher,,,,,,Livestock Provider,"Immediately after each time you use a ""Lessons"" action space, you can also buy 1 sheep/wild boar/cattle for 0/1/2 food."
,,A,169,Occupation,5+,Off-Siter,,,,,,Farm Planner,"Once the total printed building cost of all the major improvements you have is at least 9 building resources, this card provides room for 1 person for the rest of the game."
,,A,170,Occupation,5+,Hayward,,,,,,Farm Planner,"You can build fences at any time without placing a person. (This is not considered a ""Build Fences"" action.)"
,,A,171,Occupation,5+,Sidekick,,,,,,Actions Booster,"Immediately after each time you place a person on an action space card, you can pay 1 food to place another person on the card immediately left to it (and so on)."
,,A,172,Occupation,5+,Boat Painter,,,,,,Food Provider,"At the end of each work phase, if both the ""Fishing"" and ""Traveling Players"" accumulation spaces are occupied, you get your choice of 1 grain or 2 food."
,,A,173,Occupation,5+,Clay Thief,,,,,,Food Provider,"Once this game, at the start of a work phase of your choice, you can turn this card face down to get all of the clay on the ""Hollow"" action space."
,,A,174,Occupation,5+,Master Hora,,,,,,Crop Provider,"Immediately before each time you place a person on an action space with the (meeple) symbol on the game board extension, you can buy 1 vegetable for 1 food."
,,A,175,Occupation,5+,Hollow Gardener,,,,,,Crop Provider,"Each time you take at least 3 clay from the ""Hollow"" accumulation space, you also get 1 grain. If you take at least 6 clay from it, you also get 1 vegetable (instead of grain)."
,,A,176,Occupation,5+,Wheelmaker,,,,,,Building Resource Provider,"When you play this card, if you have another occupation in play and more wood than all other players combined, you immediately get wood from the general supply until you have 15 wood."
,,A,177,Occupation,5+,Middleman,,,,,,Building Resource Provider,"Place 1 stone and 1 food on all action spaces with the (meeple) symbol on the game board extension. Next time you place a person on them, you get the goods."
,,A,178,Occupation,5+,Carpenter's Boy,,,,,,Building Resource Provider,"Each time another player builds a room, you immediately get 1 wood."
,,A,179,Occupation,5+,Mountain Shepherd,,,,,,Livestock Provider,"Each time you use either ""Quarry"" accumulation space, you immediately get an additional 1 sheep from the general supply."
,,A,180,Occupation,5+,Animal Brander,,,,,,Livestock Provider,"Each time you use the ""Animal Market"" action space, you can pay 1 food to use the same option twice (instead of once)."
